NOMDEP,argile,limon,sable,pf_2_5,pf_3_0,pf_4_2,h2o_utile,h2o_en_mm,matiere_organique,carbone_total,azote_total,c_n,potassium_total,potassium_disponible,phosphore_total,phosphore_assimilable,calcium,magnesium,potassium,sodium,somme_bases,capacite_echange,taux_saturation,ph_eau,ph_kcl,refus,LIM,Shape_Leng,Shape_Area,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,ndvi_mean,Shape_Area_log
SIBY,34.15848484848485,33.63992424242424,31.696681818181823,24.07565151515152,16.507727272727273,11.109727272727271,12.48560606060606,1.4721212121212122,1.187060606060606,0.6884242424242424,0.0526818181818181,12.929287878787878,2364.042424242424,41.86672727272728,107.0785303030303,1.7451515151515151,4.124409090909091,1.4971515151515151,0.1319545454545454,0.0566060606060606,5.808545454545454,7.328530303030303,71.83331818181819,6.3999848484848485,4.678393939393939,7.523333333333333,1.0,80978.9264046,274366075.092,28.51720875,1.7485118840944445,48.84209561111111,0.2595351843821215,19.42997381677093
SOLENZO,22.72165320665083,40.32153444180522,37.20920427553445,18.914726840855103,13.191524940617576,15.827496437054632,0.7003871733966746,2.203627078384798,1.6554869358669837,0.95870783847981,0.1023420427553444,14.03894536817102,1070.5595510688836,79.00258432304037,147.34966033254156,1.9923087885985744,2.057190023752969,0.8862731591448932,0.1982399049881235,0.0737268408551068,3.222650831353919,5.316665083135391,60.98990261282661,5.898396674584323,4.380128266033254,20.39252494061758,1.0,232478.59038300003,1902331101.84,28.49233063888889,1.6449743828,46.861684583333336,0.2299646133493795,21.366345867328242
SONO,23.979892857142858,27.800214285714283,41.077035714285714,22.861464285714284,13.6975,9.561428571428571,4.869857142857143,2.312742857142857,1.492392857142857,0.8652857142857142,0.0622857142857142,12.718464285714289,1661.0431071428573,56.42007142857143,94.30496428571428,4.122464285714286,10.589892857142855,3.8254642857142858,0.1643571428571428,0.0488214285714285,14.628535714285716,17.78367857142857,70.64717857142857,5.896107142857143,4.322678571428571,4.252321428571428,1.0,92616.7188002,389225506.312,29.07666508333333,1.5750923442944444,43.29357809722222,0.2677747686895056,19.779669443929233
TANSILA,16.99501754385965,33.345251461988305,49.6603567251462,15.09335087719298,9.70593567251462,11.431157894736842,8.288762711864408,0.0174736842105263,1.4643567251461989,0.8439473684210527,0.205625730994152,18.700865497076023,954.964760233918,72.37076608187134,145.17507602339182,4.065263157894736,1.7584912280701754,0.7007076023391813,0.1637426900584795,0.0931111111111111,3.50340350877193,5.394888888888889,57.60698830409357,5.910643274853801,4.351538011695906,13.85682456140351,1.0,175923.442046,1006835801.09,28.64320638888889,1.5597975466833334,44.36742215277778,0.224054340279933,20.73007838087328
TCHERIBA,28.105889285714287,36.691339285714285,34.36948571428572,26.57222857142857,16.92760714285714,12.969214285714289,11.933653571428572,0.26025,1.1830785714285714,0.6867464285714285,0.0535321428571428,12.616064285714286,1479.9145107142856,46.5898,114.58380714285714,3.765096428571429,8.983296428571428,2.5675035714285714,0.1618178571428571,0.048875,11.767685714285715,14.3005,75.03424285714286,6.566328571428571,4.823460714285714,3.630057142857143,1.0,203626.262713,1307548672.81,28.714935,1.6919894497055556,46.987126333333336,0.2396243657978145,20.991419979833786
TOENI,25.053869918699185,26.218918699187,48.72734146341463,22.42389430894309,13.26881300813008,9.526414634146342,7.721910569105692,11.56269918699187,1.0520162601626015,0.6101951219512195,0.0487967479674796,12.4750081300813,1745.203593495935,69.98170731707317,97.60121951219512,3.221260162601626,9.970065040650406,3.346382113821138,0.1768536585365853,0.0542764227642276,13.547756097560976,16.44620325203252,77.2249756097561,6.385943089430894,4.649585365853659,0.0054471544715447,1.0,181463.469628,1428058799.0,29.14356558333333,1.0893159992055557,39.90274397222223,0.1684981036486577,21.079581876486664
TOMA,32.950101694915254,28.03437288135593,39.01554237288136,24.578677966101697,16.330932203389832,11.88928813559322,8.288762711864408,10.10079661016949,1.1841525423728814,0.6870508474576271,0.0562203389830508,12.17684745762712,1909.3435762711863,88.54022033898305,98.00154237288136,2.9825762711864408,10.59428813559322,3.47028813559322,0.2234745762711864,0.063,14.350966101694915,17.053186440677965,77.75201694915253,6.436,4.611796610169492,0.0042372881355932,1.0,92559.4364766,437302912.125,28.5002025,1.4320882453277777,44.64152433333334,0.2081531989721119,19.8961366779777
TOUGAN,30.783290322580648,27.463562211981568,41.75321658986175,25.46743778801844,15.46083870967742,11.670755760368664,8.360599078341014,6.861036866359447,1.2715391705069123,0.7378847926267281,0.0575345622119815,12.715672811059909,1889.759599078341,75.1735529953917,106.0829124423963,3.651331797235023,12.85879262672811,4.260276497695853,0.2018248847926267,0.072700460829493,17.393640552995393,20.68342396313364,79.83996313364055,6.540981566820276,4.830165898617511,0.4829032258064515,1.0,190465.208151,1758661440.1900003,28.66331661111112,1.3789834028055556,41.72989975,0.231777123666438,21.287818811857157
YABA,31.944275,28.5790375,39.47675,24.7682875,16.071824999999997,11.638225,8.650612500000001,9.7008375,1.16465,0.6756375,0.0548749999999999,12.304175,1813.143025,84.685125,98.7210125,3.185,11.4948375,3.7204625,0.2095375,0.0656374999999999,15.490200000000002,18.2936375,78.91922500000001,6.534274999999999,4.7088625,0.004625,1.0,143682.014985,739267483.75,28.61510619444444,1.3789834028055556,42.563688013888886,0.2192971962774584,20.42117036842933
YAHO,21.93911224489796,29.14761224489796,46.87245918367347,23.873632653061225,12.468204081632653,9.227255102040816,12.201265306122448,2.312742857142857,1.0210714285714286,0.6168775510204082,0.0501326530612244,11.962285714285716,1982.6222857142857,58.105193877551024,96.64209183673468,2.7701632653061226,7.785091836734694,3.0330408163265306,0.1815408163265306,0.0526326530612244,11.052285714285714,13.224540816326533,77.71976530612245,6.664826530612245,4.879255102040816,22.56739795918368,1.0,89339.7271172,379301446.0580001,27.85308938888889,1.7973713131666669,47.40623829166667,0.2633004423570358,19.75384182172699
YE,32.15391,31.71199,34.46692,25.89111,17.51836,12.73838,8.19922,6.27109,1.27892,0.74176,0.05814,12.24393,1894.42549,81.06577,108.84294,4.614129999999999,10.71077,3.66885,0.22543,0.0592399999999999,14.663480000000002,17.46886,77.13934,6.530169999999999,4.77018,2.54257,1.0,139455.148612,763061308.862,28.93541677777777,1.5065890208333332,44.182980694444446,0.2220576899703322,20.452848939705998
